Gene ID	Gene Name	Design Element	'non-small cell lung cancer' vs 'normal'.p-value	'non-small cell lung cancer' vs 'normal'.t-statistic	'non-small cell lung cancer' vs 'normal'.log2foldchange
ENSG00000173715	C11orf80	204922_at	2.80536269776355e-13	9.02722463741507	0.9
ENSG00000173726	TOMM20	200662_s_at	5.62332233652797e-06	5.14041832087734	0.5
ENSG00000173728	C1orf100	237603_at	0.0128088342058194	-2.79841026183057	-0.1
ENSG00000173744	AGFG1	218091_at	5.68336762000332e-10	-7.32933234417115	-0.6
ENSG00000173757	STAT5B	212549_at	1.60467632094944e-17	-11.2034206767991	-0.9
ENSG00000173762	CD7	214049_x_at	0.96248481847879	0.0662345968555835	0
ENSG00000173786	CNP	208912_s_at	1.6377933025574e-21	13.324735902665	0.8
ENSG00000173801	JUP	201015_s_at	6.64287170083876e-18	11.4037021205324	1.9
ENSG00000173805	HAP1	211222_s_at	0.0343290850895292	2.39604083481309	0.1
ENSG00000173809	TDRD12	215356_at	0.0548302292976052	2.18748865336835	0.3
ENSG00000173811	CCDC13-AS1	1557652_a_at	0.193022360129635	1.52531266229464	0.1
ENSG00000173812	EIF1	211956_s_at	0.476841612462687	0.87928573668142	0
ENSG00000173818	ENDOV	238402_s_at	0.0370380376076643	2.36278129582592	0.1
ENSG00000173821	RNF213	225929_s_at	0.145823575061479	-1.68795312347519	-0.2
ENSG00000173825	TIGD3	229789_at	0.444495841576664	0.939834747838741	0.1
ENSG00000173826	KCNH6	221023_s_at	0.746801104875619	0.421055945285243	0
ENSG00000173838	MARCHF10	230824_at	0.477088712519356	-0.878622914269793	0
ENSG00000173846	PLK3	204958_at	2.66509189430817e-14	-9.5496614271062	-1.3
ENSG00000173848	NET1	201830_s_at	1.54375736111852e-16	10.6964895999209	1.6
ENSG00000173852	DPY19L1	212792_at	0.00339934050339584	3.27724574132481	0.5
ENSG00000173862		220678_at	0.483136933844086	-0.867942323600003	0
ENSG00000173868	PHOSPHO1	236218_at	0.0152434604764432	-2.7304423634548	-0.1
ENSG00000173875	ZNF791	1553703_at	0.00014797569269602	-4.25138979533883	-0.4
ENSG00000173889	PHC3	226508_at	0.121945171966148	1.78764122677791	0.2
ENSG00000173890	GPR160	223423_at	0.229212599154855	-1.41740952551672	-0.3
ENSG00000173894	CBX2	226473_at	5.00040628149153e-13	8.89776355805897	1.8
ENSG00000173898	SPTBN2	205155_s_at	1.47542224359772e-13	9.16982968900644	0.8
ENSG00000173905	GOLIM4	238002_at	0.0961389181794173	1.91305726188049	0.2
ENSG00000173914	RBM4B	209497_s_at	0.375404023678917	1.07337922495704	0.1
ENSG00000173917	HOXB2	205453_at	0.113303820131378	1.826451035849	0.3
ENSG00000173918	C1QTNF1	220975_s_at	0.00521853132634721	-3.12721518710601	-0.4
ENSG00000173926	MARCHF3	213256_at	0.0765043969294985	-2.02828352390789	-0.3
ENSG00000173928	SWSAP1	227352_at	0.744476384415795	0.424875903767784	0
ENSG00000173930	SLCO4C1	222071_s_at	4.99412663104388e-10	-7.35878730878857	-1.5
ENSG00000173933	RBM4	227979_at	6.41874687165171e-06	-5.1064894076662	-0.6
ENSG00000173947	PIFO	228100_at	5.37384683303923e-07	-5.72763009709487	-1.2
ENSG00000173950	XXYLT1	226891_at	2.15874198493145e-14	9.59699545538802	1.6
ENSG00000173960	UBXN2A	235327_x_at	0.660486607878005	0.56291767453863	0
ENSG00000173976	RAX2	1552311_a_at	0.401292121367878	-1.02247660447215	0
ENSG00000173988	LRRC63	1569124_at	0.00807274407421736	-2.97035058109246	-0.1
ENSG00000173991	TCAP	205766_at	0.927571946143315	-0.124924364312455	0
ENSG00000173992	CCS	203522_at	0.973017656335933	-0.0476174676026727	0
ENSG00000174004	NRROS	235359_at	2.15894879965869e-13	-9.08565151033509	-1.1
ENSG00000174007	CEP19	230860_at	0.00185189215919506	3.48128258433307	0.6
ENSG00000174010	KLHL15	226370_at	0.00469099865076076	-3.16455794262867	-0.4
ENSG00000174013	FBXO45	225099_at	2.66460191287036e-15	10.0590718833737	1.5
ENSG00000174015	CBY2	1553846_at	0.00117652903729109	3.62790319625581	0.2
ENSG00000174016	TENT5D	1552461_at	NA	0.566294555501844	0
ENSG00000174032	SLC25A30	226782_at	5.91649404592059e-09	-6.79661284524221	-0.6
ENSG00000174038	C9orf131	230985_at	0.359608354029177	1.10489193793521	0.1
ENSG00000174059	CD34	209543_s_at	4.2284263086365e-17	-10.9852790844213	-1.3
ENSG00000174080	CTSF	203657_s_at	8.56975282225542e-13	-8.77982010517778	-0.7
ENSG00000174099	MSRB3	225782_at	1.52539866488436e-11	-8.14054956349976	-1.6
ENSG00000174106	LEMD3	218604_at	0.123956332249776	1.77929513660038	0.1
ENSG00000174109	C16orf91	225749_at	2.84809355889597e-05	4.71148457222768	0.3
ENSG00000174123	TLR10	223751_x_at	0.34966264909179	1.12596666257444	0.1
ENSG00000174125	TLR1	210176_at	0.000259761477091604	-4.08848409495426	-0.6
ENSG00000174130	TLR6	207446_at	0.999512160883904	0.000805485252732228	0
ENSG00000174132	FAM174A	226752_at	2.79473442778953e-08	-6.43491119722286	-0.7
ENSG00000174136	RGMB	226989_at	0.393050157253349	-1.03895308342843	-0.2
