,pert_iname,pubchem_cid_list,canonical_smiles_list
143,BCL2-inhibitor,['11822705'],['COc1ccc([N+][O-])c(CCc2cc(OC)ccc2[N+][O-])c1']
144,BD-1008,['126388'],['CN(CCN1CCCC1)CCc1ccc(Cl)c(Cl)c1']
145,BD-1047,['188914'],['CN(C)CCN(C)CCc1ccc(Cl)c(Cl)c1']
146,BD-1063,['574780'],['CN1CCN(CCc2ccc(Cl)c(Cl)c2)CC1']
147,BE-2254,['34772'],['Oc1ccc(CCNCC2CCc3ccccc3C2=O)cc1']
148,BG-1001,['3682562'],['CC(=O)Nc1ccc(cc1)C(=O)Nc1ccccc1O']
149,BG-1002,['73707548'],['CN(C(C)=O)c1ccc(cc1)C(=O)Nc1ccccc1N']
150,BG-1003,['73707349'],['ONC(=O)CCCCCCC(=O)N/N=C/c1ccc(cc1)c2ccccc2']
151,BG-1004,['44506448'],['ONC(=O)CCCCC(=O)N/N=C/c1ccc(cc1)c2ccccc2']
152,BG-1005,['25118059'],['ONC(=O)CCCCCC(=O)N/N=C/c1ccc(cc1)c2ccccc2']
153,BG-1006,['73707535'],['ONC(=O)CCCCCC(=O)N\\N=C\\c1ccc(cc1)-c1ccccn1']
154,BG-1007,['73707536'],['Cc1ccccc1-c1ccc(\\C=N\\NC(=O)CCCCCC(=O)NO)cc1']
155,BG-1008,['73707537'],['CN1c2ccccc2C(NCCCCCCC(=O)NO)c2ccc(Cl)cc2S1(=O)=O']
156,BG-1009,['73707538'],['CC(=O)Nc1ccc(cc1)C(=O)Nc1cc(ccc1O)-c1cccs1']
157,BG-1010,['73707549'],['CN1c2ccccc2C(NCCCCCCC(=O)Nc2ccccc2N)c2ccc(Cl)cc2S1(=O)=O']
158,BG-1011,['73707539'],['ONC(=O)c1ccc(cc1)\\N=N\\c1ccccc1']
159,BG-1012,['73707540'],['ONC(=O)c1ccc(cc1)\\N=N\\c1ccc(cc1)C(O)=O']
160,BG-1013,['1133083'],['Nc1ccccc1NC(=O)c2cccnc2']
161,BG-1014,['1133081'],['Nc1ccccc1NC(=O)c1ccncc1']
162,BG-1015,['73707612'],['CC(=O)Nc1ccc(cc1)C(=O)NC1CCCCC1N']
163,BG-1016,['16793302'],['Cc1ccc(cn1)C(=O)Nc1ccccc1N']
164,BG-1017,['44507900'],['COc1cc(O)cc(OC)c1/C=N/NC(=O)CCCCCCC(=O)NO']
165,BG-1018,['73707541'],['COC(=O)CCCCC(=O)N\\N=C\\c1c(OC)cc(O)cc1OC']
166,BG-1019,['44506454'],['COc1cc(O)cc(OC)c1/C=N/NC(=O)CCCCC(=O)NO']
167,BG-1020,['23749431'],['COC(=O)CCCCCCC(=O)N/N=C/c1c(OC)cc(O)cc1OC']
168,BG-1021,['5153532'],['Oc1ccccc1NC(=O)c1cccnc1']
169,BG-1022,['7791937'],['Oc1ccccc1NC(=O)c1ccncc1']
170,BG-1023,['842059'],['Oc1ccccc1NC(=O)c1ccccn1']
171,BG-1024,['73707542'],['Nc1ccccc1NC(=O)c1cnc(Nc2ccccc2)nc1']
172,BG-1025,['73707543'],['ONC(=O)CCCCCC(=O)N\\N=C\\c1ccc(cc1)-c1ccncc1']
173,BG-1026,['73707550'],['ONC(=O)CCCCCC(=O)N\\N=C\\c1ccc(cc1)-c1cccnc1']
174,BG-1027,['73707544'],['ONC(=O)CCCCCC(=O)N\\N=C\\c1ccc(cc1)-c1cncnc1']
175,BG-1028,['73707545'],['ONC(=O)CCCCCC(=O)N\\N=C\\c1ccc(cc1)-c1cccs1']
176,BG-1029,['73707350'],['COc1ccc(Br)c(/C=N/NC(=O)CCCCCCC(=O)NO)c1']
177,BG-1030,['42618298'],['COc1ccc(Br)c(/C=N/NC(=O)CCCCCC(=O)NO)c1']
178,BG-1031,['73707343'],['COc1cc(O)cc(OC)c1/C=N/NC(=O)CCCCCC(=O)NO']
179,BG-1032,['16773791'],['Nc1ccccc1NC(=O)c1cnccn1']
180,BG-FA-0953,['6446335'],['Cc1cccc2nc([nH]c12)/C(=C/c3ccc(o3)[N+](=O)[O-])/C#N']
181,BG-STK33-03,['53347979'],['O=C(Nc1ccccc1-c1nc2ccccc2[nH]c1=O)c1ccccn1']
182,BG-STK33-55,['53377419'],['Fc1ccc(c(NC(=O)c2cccs2)c1)-c1nc2ccccc2[nH]c1=O']
183,BG-STK33-59,['53377448'],['CC(C)c1ccc(NC(=O)c2cccs2)c(c1)-c1nc2ccccc2[nH]c1=O']
184,BH3I-1,['6090108'],['CC(C)C(C(=O)O)N1C(=O)/C(=C\\C2=CC=C(C=C2)Br)/SC1=S']
